student_id,study_time_hours,sleep_hours,attendance_rate,final_grade
1,4,5,91,98
2,5,7,68,91
3,3,8,100,55
4,5,6,94,64
5,5,4,78,92
6,2,7,75,86
7,3,8,62,82
8,3,7,79,57
9,3,8,83,93
10,5,8,92,93
11,4,6,83,54
12,3,8,70,88
13,5,7,67,53
14,2,8,95,55
15,4,6,97,94
16,2,6,99,81
17,4,7,79,79
18,5,5,94,96
19,1,5,84,84
20,4,8,94,89
21,2,4,84,65
22,5,8,88,62
23,4,7,77,99
24,1,7,77,91
25,1,7,61,79
26,3,7,94,68
27,3,7,75,66
28,2,6,100,68
29,4,5,95,77
30,4,7,92,75
31,3,4,63,86
32,4,4,92,75
33,4,4,73,72
34,1,4,80,58
35,3,6,79,61
36,5,4,67,50
37,3,7,66,50
38,5,8,62,96
39,1,4,76,83
40,2,6,92,81
41,4,6,71,97
42,1,4,81,74
43,4,8,81,89
44,2,4,89,94
45,2,6,97,50
46,1,5,97,65
47,2,7,67,88
48,5,6,86,54
49,2,4,86,71
50,4,7,93,78
51,4,4,80,52
52,4,4,89,61
53,4,5,92,75
54,5,7,87,65
55,3,7,92,100
56,1,5,64,86
57,4,6,78,71
58,2,4,63,78
59,4,8,94,63
60,2,4,76,77
61,2,4,87,54
62,4,6,89,96
63,5,4,88,98
64,2,5,65,79
65,2,5,94,95
66,4,7,100,54
67,2,8,96,61
68,2,4,83,65
69,4,4,88,75
70,4,6,90,75
71,1,5,94,97
72,5,8,92,70
73,5,7,80,88
74,2,5,91,85
75,5,7,82,82
76,2,6,92,79
77,1,6,62,86
78,4,4,77,72
79,4,8,84,59
80,4,7,90,54
81,5,5,62,85
82,1,6,99,83
83,5,4,83,80
84,5,4,91,59
85,1,7,81,68
86,1,6,82,81
87,1,8,61,50
88,1,6,86,54
89,4,7,61,94
90,3,7,85,53
91,3,6,76,65
92,1,7,99,73
93,3,6,92,65
94,3,5,68,51
95,1,6,98,98
96,3,6,88,77
97,5,7,85,81
98,2,7,94,76
99,2,4,84,69
100,1,4,83,73
101,4,5,72,61
102,1,4,66,99
103,4,6,95,84
104,2,7,79,82
105,1,4,60,82
106,5,4,67,100
107,3,5,75,92
108,4,5,73,86
109,3,6,71,61
110,3,7,82,52
111,1,5,74,50
112,3,4,87,82
113,5,7,93,89
114,3,7,61,59
115,1,4,91,92
116,5,5,82,93
117,2,4,81,78
118,3,7,84,62
119,1,8,81,61
120,2,8,81,80
